scenario,null_status,n,method,calibration,n_replicates,n_rejections,rejection_rate,ci_low,ci_high
shape_only,false,500,stratified_mean_disparity,stratified_permutation,1000,46,0.046,0.03466249276326498,0.06081220394161907
shape_only,false,500,stratified_regression_lrt,stratified_permutation,1000,47,0.047,0.0355271051063845,0.06193993808152845
shape_only,false,500,marginal_mean_ttest,asymptotic,1000,1000,1.0,0.996173241514445,1.0
shape_only,false,500,stratified_regression_ftest,asymptotic,1000,49,0.049,0.03726103464736061,0.06419070150661013
shape_only,false,2000,conditional_g2,stratified_permutation,1000,705,0.705,0.6759934395775895,0.7324375894433328
shape_only,false,2000,stratified_mean_disparity,stratified_permutation,1000,44,0.044,0.032938214588418495,0.05855178915040778
shape_only,false,2000,stratified_regression_lrt,stratified_permutation,1000,51,0.051,0.039000942775266834,0.06643548634476167
shape_only,false,2000,marginal_mean_ttest,asymptotic,1000,1000,1.0,0.996173241514445,1.0
shape_only,false,2000,stratified_regression_ftest,asymptotic,1000,52,0.052,0.03987303628377741,0.06755573931927998
confounded_observed,true,200,conditional_g2,stratified_permutation,1000,37,0.037,0.02696118087555473,0.050582397482069316
confounded_observed,true,200,stratified_mean_disparity,stratified_permutation,1000,47,0.047,0.0355271051063845,0.06193993808152845
confounded_observed,true,200,stratified_regression_lrt,stratified_permutation,1000,42,0.042,0.031220885546165443,0.05628442522660306
confounded_observed,true,200,marginal_mean_ttest,asymptotic,1000,993,0.993,0.9856216845342334,0.9966051315990092
confounded_observed,true,200,stratified_regression_ftest,asymptotic,1000,46,0.046,0.03466249276326498,0.06081220394161907
confounded_observed,true,500,conditional_g2,stratified_permutation,1000,35,0.035,0.025272263017112946,0.04828662237445334
confounded_observed,true,500,stratified_mean_disparity,stratified_permutation,1000,37,0.037,0.02696118087555473,0.050582397482069316
confounded_observed,true,500,stratified_regression_lrt,stratified_permutation,1000,43,0.043,0.032078653411713356,0.05741900384408402
confounded_observed,true,500,marginal_mean_ttest,asymptotic,1000,1000,1.0,0.996173241514445,1.0
confounded_observed,true,500,stratified_regression_ftest,asymptotic,1000,43,0.043,0.032078653411713356,0.05741900384408402
confounded_observed,true,2000,conditional_g2,stratified_permutation,1000,48,0.048,0.036393301020807914,0.06306608865013393
confounded_observed,true,2000,stratified_mean_disparity,stratified_permutation,1000,51,0.051,0.039000942775266834,0.06643548634476167
confounded_observed,true,2000,stratified_regression_lrt,stratified_permutation,1000,46,0.046,0.03466249276326498,0.06081220394161907
confounded_observed,true,2000,marginal_mean_ttest,asymptotic,1000,1000,1.0,0.996173241514445,1.0
confounded_observed,true,2000,stratified_regression_ftest,asymptotic,1000,44,0.044,0.032938214588418495,0.05855178915040778
confounded_proxy,not guaranteed,200,conditional_g2,stratified_permutation,1000,189,0.189,0.1659418620747839,0.21443838170323143
confounded_proxy,not guaranteed,200,stratified_mean_disparity,stratified_permutation,1000,393,0.393,0.3631928332405499,0.42362609307535887
confounded_proxy,not guaranteed,200,stratified_regression_lrt,stratified_permutation,1000,394,0.394,0.3641755734830001,0.4246356993159376
confounded_proxy,not guaranteed,200,marginal_mean_ttest,asymptotic,1000,996,0.996,0.9897604437227377,0.9984434118595916
